Timestamp,Reading
1129891.9013718802,-10116.22
1129891.9033717504,-12790.918
1129891.9053717286,-16941.904
1129891.9073717245,-17491.22
1129891.9093717246,-17312.05
1129891.9113717258,-15238.166
1129891.9133717276,-16525.627
1129891.9153717293,-14040.828
1129891.9173717308,-13472.199
1129891.919371732,-11813.521
1129891.9213717333,-13488.293
1129891.9233717346,-13210.416
1129891.9253717356,-15327.215
1129891.9273717366,-9047.628
1129891.9293717374,-11727.69
1129891.9313717382,-12009.859
1129891.9310698488,-13994.693
1129891.931190175,-13238.311
1129891.9316423978,-14485.002
1129891.932358542,-16034.245
1129891.93328673,-15378.714
1129891.9343868697,-17424.703
1129891.9356276232,-14250.04
1129891.936984242,-15348.673
1129891.9384369962,-11904.717
1129891.9399700214,-9287.953
1129891.9415704599,-11868.238
1129891.9432278147,-14528.99
1129891.944933458,-15680.194
1129891.9461007875,-12490.511
1129891.9473665652,-14755.368
1129891.9487176223,-12282.371
1129891.9501428357,-9262.204
1129891.9516327654,-14052.63
1129891.9531793618,-13300.538
1129891.9547757336,-20463.11
1129891.9564159566,-17876.387
1129891.9580949184,-16984.82
1129891.9598081918,-18025.518
1129891.9952450471,-16005.277
1129892.0279060293,-14673.829
1129892.0580673832,-18436.432
1129892.0859727343,-14490.366
1129892.1118375452,-4383.8022
1129892.1358528854,-6718.397
1129892.1581886276,-35327.91
1129892.1789961702,-13037.682
1129892.198410763,-3833.413
1129892.2165535004,-5966.3057
1129892.233533037,-15928.03
1129892.249447066,-8330.941
1129892.2643836,-10985.255
1129892.2784220795,-5275.3687
1129892.2906019702,-20056.486
1129892.3020851598,-5020.0225
1129892.31292585,-17077.088
1129892.3231732955,-4042.6255
1129892.3328723253,-16809.94
1129892.3420638023,-26038.885
1129892.3507850287,-52815.914
1129892.359070103,-74475.29
1129892.3669502393,-77982.55
1129892.3744540478,-70829.63
1129892.3816077854,-69116.234
1129892.3884355791,-63995.36
1129892.3949596253,-55279.254
1129892.4012003671,-52688.242
1129892.4071766543,-52749.395
1129892.7304150295,-50086.5
1129893.0377839527,-50650.836
1129893.3302288381,-51406.145
1129893.6086277242,-45357.227
1129893.8737968788,-41976.57
1129894.1264958708,-40807.13
1129894.3674321666,-37991.883
1129894.5972653008,-35857.914
1129894.816610665,-36850.332
1129895.0260429555,-37550.926
1129895.226099312,-30193.09
1129895.4172821818,-30506.373
1129895.6000619312,-29235.006
1129895.7746469986,-25719.166
1129895.9416924615,-26283.502
1129896.1015854976,-22932.887
1129896.2546896453,-13883.114
1129896.4013464856,-20195.96
1129896.541877187,-23974.656
1129896.6765839283,-22547.723
1129896.805751205,-19154.191
1129896.9296470357,-18314.123
1129897.0485240724,-17280.936
1129897.162159337,-17220.855
1129897.2712562059,-16438.723
1129897.3760263082,-18940.688
1129897.4766696084,-18826.96
1129897.5733751543,-14227.51
1129897.6663217717,-13357.401
1129897.7556787054,-12264.133
1129897.8416062174,-10965.943
1129897.9242561408,-10904.789
1129898.0037723943,-12097.836
1129898.0802914624,-17142.535
1129898.1539428416,-14003.276
1129898.224849455,-16463.398
1129898.4767656175,-12653.589
1129898.7201602135,-10999.203
1129898.9553769042,-13627.768
1129899.182742815,-12290.955
1129899.4025694642,-12639.642
1129899.6151536347,-9230.018
1129899.8207781878,-13384.223
1129900.0197128265,-18928.885
1129900.2122148098,-15152.335
1129900.3985296243,-13599.873
1129900.578891613,-10766.387
1129900.753524566,-9725.689
1129900.9226422752,-12346.744
1129901.086449056,-11223.436
1129901.2451402368,-13178.2295
1129901.398901135,-13713.599
1129901.5476904206,-17103.91
1129901.6919069984,-10273.934
1129901.8317143826,-11307.12
1129901.9672691633,-14014.006
1129902.0987213473,-13348.817
1129902.2262146813,-11270.643
1129902.3498869564,-13864.875
1129902.4698702951,-15009.642
1129902.5862914245,-15401.244
1129902.6992719308,-14685.631
1129902.8089285046,-15128.731
1129902.9149555217,-14008.642
1129903.0178891085,-12567.759
1129903.1178322474,-9757.876
1129903.2148838853,-8793.3545
1129903.3091391171,-17875.314
1129903.4006893602,-4664.898
1129903.4896225196,-5457.759
1129903.5760231456,-10796.428
1129903.659972582,-15602.946
1129903.7415491082,-15102.982
1129903.8208280723,-15464.544
1129903.8978820194,-19250.75
1129903.9727808128,-15477.419
1129904.0455917483,-18484.71
1129904.1163796652,-15873.3125
1129902.9404424,1
1129902.9484424,0
1129904.1936935482,-17312.05
1129904.2689077994,-20036.102
1129904.3420861852,-16872.168
1129904.413290207,-17005.205
1129904.4825791926,-7989.764
1129904.5500103873,-2044.9161
1129904.6156390375,-21442.652
1129904.6795184722,-36931.87
1129904.74170018,-32947.184
1129904.8022338836,-33566.24
1129904.8606372701,-35407.305
1129904.9174987485,-29116.988
1129904.9728628376,-22815.943
1129905.0267725626,-23442.506
1129905.0792695128,-22396.445
1129905.130393897,-23717.164
1129905.1801845971,-22459.746
1129905.2286792186,-21921.158
1129905.2759141384,-20944.834
1129905.3219245526,-21389.008
1129905.3667445194,-19546.867
1129905.4104070028,-19020.08
1129905.4529439125,-15462.398
1129905.4943861433,-15536.428
1129905.534763612,-16481.639
1129905.5741052942,-17791.629
1129905.6124392569,-17172.574
1129905.6497926922,-16551.375
1129905.6859871137,-16497.73
1129905.7212569437,-8030.5337
1129905.755626836,-2093.1958
1129905.7891206914,-18357.04
1129905.8217616829,-19017.936
1129905.8535722825,-3280.8782
1129905.8845742845,-12046.337
1129905.9147888303,-3289.4612
1129905.94423643,-9602.309
1129905.9729369844,-2710.104
1129906.0009098055,-6459.832
1129906.0281736373,-6100.416
