Timestamp,Reading
104649.55197157968,242672.33
104649.55397149999,241886.97
104649.5559714867,241529.7
104649.55797148404,241564.03
104649.55997148404,241841.9
104649.56197148479,241811.88
104649.56397148572,241751.8
104649.56597148666,242396.6
104649.56797148754,242670.17
104649.56997148835,242144.47
104649.57197148906,241468.55
104649.57271086637,241662.73
104649.57376345164,241723.89
104649.57503997949,241814.02
104649.57648015681,241752.86
104649.57804218393,242110.14
104649.57969642113,242515.69
104649.5814214332,242610.1
104649.58320144708,241537.22
104649.58502467637,241590.86
104649.58688219202,241655.23
104649.58799371652,241873.03
104649.58923979201,241606.95
104649.59059701103,241989.97
104649.59204668438,242405.17
104649.59357376049,242640.14
104649.59516602072,241871.95
104649.59681347324,241522.19
104649.59850789155,241647.72
104649.60024246004,241783.97
104649.6020114988,241726.05
104649.60508059479,241718.53
104649.6080449082,242438.44
104649.61091701136,242581.12
104649.61370768069,242143.39
104649.61642619327,241516.83
104649.61908056817,241629.48
104649.62167776373,241723.89
104649.62422384006,241847.28
104649.62672409315,241642.36
104649.62918316646,242151.97
104649.63116394525,242562.89
104649.63314626992,242479.2
104649.63512999259,241566.19
104649.63711498216,241544.72
104649.63910112205,241662.73
104649.64108830842,241807.58
104649.64307644847,241676.69
104649.64506545913,242003.92
104649.6470552659,242356.89
104649.64904580178,242660.52
104649.65156204773,241875.17
104649.65404491992,241540.44
104649.6564970162,241602.66
104649.65892069334,241766.81
104649.66131809301,241743.2
104649.66369116466,241745.36
104649.66604168553,242355.83
104649.66837127839,242575.77
104649.67068142707,242259.27
104649.67297349041,241411.69
104649.6752487144,241590.86
104649.67750824311,241744.28
104649.67949154411,241793.62
104649.68147502863,241669.17
104649.68345870286,242133.73
104649.68544257183,242544.66
104649.68742663949,242483.5
104649.68941090882,241582.28
104649.69139538203,241539.36
104649.69338006059,241674.55
104649.69536494536,241797.92
104649.69735003661,241662.73
104649.69972433709,241913.8
104649.70208094247,242492.08
104649.70442084783,242716.31
104649.70674498157,241825.81
104649.70905421053,241333.36
104649.71134934486,241753.94
104649.71363114228,241775.39
104649.71590031206,241736.77
104649.71815751863,241718.53
104649.72040338482,242321.48
104649.72263849502,242626.19
104649.72486339783,242224.94
104649.72707860867,241395.6
104649.72928461211,241596.22
104649.731481864,241730.33
104649.73367079346,241812.94
104649.73585180471,241668.11
104649.73802527876,242135.88
104649.74019157495,242540.36
104649.74206311336,242511.39
104649.74393873525,241606.95
104649.74581826989,241546.88
104649.7477015554,241675.61
104649.7495884382,241823.67
104649.7514787724,241686.34
104649.75337241952,241885.9
104649.75526924788,242516.75
104649.75716913228,242734.55
104649.75907195365,241736.77
104649.76097759859,241490.0
104649.76271739304,241685.27
104649.76446536386,241851.56
104649.76622119024,241713.17
104649.7679845666,241733.55
104649.76975520179,242283.94
104649.77153281831,242679.83
104649.77331715148,242161.62
104649.77510794882,241478.2
104649.77690496933,241658.45
104649.77870798293,241708.88
104649.78023949264,241852.64
104649.78178492907,241644.5
104649.78334378518,242127.3
104649.78491557614,242527.48
104649.78649983827,242525.34
104649.78809612793,241601.6
104649.78970402053,241536.14
104649.79132310949,241634.84
104649.79295300544,241767.89
104649.7945933353,241773.25
104649.79624374153,241818.31
104649.79790388129,242393.38
104649.79999746953,242744.2
104649.8020885548,241880.53
104649.8041772195,241444.95
104649.80626354278,241654.16
104649.80834760061,241777.55
104649.81042946604,241730.33
104649.81250920925,241727.11
104649.81458689767,242260.34
104649.81666259622,242692.7
104649.81873636726,242136.95
104649.82080827086,241484.64
104649.82287836478,241720.67
104649.82494670466,241624.11
104649.82701334405,241883.75
104649.82907833454,241554.38
104649.83114172584,242164.84
104649.83303394513,242561.81
104649.83492878154,242437.36
104649.83682615773,241680.98
104649.83872599914,241547.94
104649.84062823385,241604.81
104649.84253279245,241783.97
104649.84443960796,241688.48
104649.84634861571,241844.06
104649.8482597533,242467.4
104649.85017296043,242611.17
104649.85208817887,241839.77
104649.85407217212,241444.95
104649.85605655728,241737.84
104649.85804132328,241633.77
104649.86002645937,241835.47
104649.86201195518,241600.52
104649.86399780068,242333.3
104649.8659839862,242634.77
104649.86797050234,242243.17
104649.86995734005,241484.64
104649.87194449056,241610.17
104649.87393194536,241684.2
104649.87591969625,241815.1
104649.87790773527,241626.27
104649.87989605471,242092.97
104649.88172810116,242524.27
104649.88356365553,242547.88
104649.88540262908,241626.27
104649.88724493579,241552.23
104649.88909049223,241719.61
104649.89093921748,241665.95
104649.89279103308,241701.36
104649.89464586286,241978.17
104649.89650363295,242375.14
104649.89836427162,242733.48
104649.90022770927,241847.28
104649.90240082832,241549.02
104649.90457064417,241580.12
104649.90673723444,241825.81
104649.90890067455,241771.11
104649.91106103775,241717.45
104649.91321839528,242311.83
104649.91537281634,242582.2
104649.9175243682,242290.38
104649.91967311631,241496.44
104649.92181912428,241661.67
104649.92396245398,241723.89
104649.92610316558,241873.03
104649.92824131763,241682.05
104649.9303769671,242098.33
104649.93251016941,242557.53
104649.93464097854,242550.02
104649.93665698777,241648.8
104649.93867271597,241555.45
104649.9406881692,241689.56
104649.94270335336,241815.1
104649.94471827422,241815.1
104649.94673293739,241827.97
104649.94874734832,242384.8
104649.95076151234,242795.7
104649.95277543466,241934.19
104649.95478912033,241452.45
104649.95680257426,241684.2
104649.95881580126,241783.97
104649.96082880604,241789.34
104649.96284159314,241693.86
104649.96485416702,242294.67
104649.96686653202,242680.9
104649.9688786924,242351.53
104649.97089065226,241443.88
104649.97304397194,241596.22
104649.97519478334,241699.22
104649.97734313649,241835.47
104649.97948908016,241657.38
104649.98163266199,242072.58
104649.98377392847,242542.5
104649.98591292501,242567.19
104649.98804969591,241670.25
104649.99018428443,241538.28
104649.99231673285,241684.2
104649.99444708243,241792.56
104649.99657537347,241705.66
104649.99856259675,241859.08
104650.00054999339,242545.72
104650.00253756029,242606.88
104650.00452529444,241866.6
104650.00651319289,241562.97
104650.00850125274,241629.48
104650.01048947118,241734.62
104650.01247784543,241771.11
104650.0144663728,241708.88
104650.01645505063,242228.16
104650.01844387632,242685.2
104650.02043284738,242198.11
104650.02242196127,241572.62
104650.0244112156,241626.27
104650.026400608,241655.23
104650.02839013611,241789.34
104650.03037979768,241654.16
104650.03236959045,242031.81
104650.03435951227,242577.9
104650.03624591626,242503.88
104650.03813392624,241708.88
104650.04002351433,241462.11
104650.04191465328,241751.8
104650.04380731637,241684.2
104650.04570147744,241684.2
104650.04759711091,241820.45
104650.04949419168,242439.52
104650.05139269521,242644.42
104650.05329259744,241932.03
104650.0551938748,241465.33
104650.05745421453,241633.77
104650.05971099112,241691.7
104650.06196426398,241771.11
104650.06421409137,241646.64
104650.06646053035,242241.03
104650.06870363686,242557.53
104650.07094346573,242274.28
104650.07318007069,241539.36
104650.07541350438,241575.84
104650.07764381847,241527.56
104650.07987106353,241866.6
104650.08209528921,241644.5
104650.08431654415,241974.95
104650.08653487607,242509.25
104650.08875033174,242506.03
104650.09096295704,241630.55
104650.09317279699,241472.84
104650.09537989569,241590.86
104650.09758429645,241783.97
104650.09971474932,241609.1
104650.10184349616,241796.84
104650.10397056378,242322.56
104650.10609597842,242640.14
104650.10821976587,241856.94
104650.11034195143,241438.52
104650.11246255989,241579.06
104650.11458161563,241693.86
104650.11669914256,241652.02
104650.11881516411,241598.38
104650.12081975091,242205.62
104650.12282422897,242481.34
104650.12482860027,242147.69
104650.12683286668,241414.9
104650.12883703008,241528.62
104650.13084109231,241597.3
104650.13284505517,241714.23
104650.1348489204,241540.44
104650.13685268974,241921.31
104650.13885636488,242439.52
104650.14085994747,242457.75
104650.14286343915,241575.84
104650.1449959368,241408.47
104650.14712682451,241530.78
104650.1492561257,241652.02
104650.15138386343,241696.0
104650.15351006028,241669.17
104650.15563473849,242243.17
104650.15775791992,242657.3
104650.15987962602,241870.88
104650.16199987789,241253.97
104650.16411869625,241675.61
104650.16623610149,241537.22
104650.16835211363,241765.73
104650.17046675236,241474.98
104650.17258003703,242215.28
104650.1746919867,242422.34
104650.17680262003,242274.28
104650.17891195543,241355.89
104650.18102001099,241537.22
104649.55196975,1
104649.56196975001,0
104650.55058625001,1
104650.56058625001,0
104650.1831263015,241552.23
104650.18523135304,241701.36
104650.1873351827,241553.31
